ID,price,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,priceByArea,hasPlan,has3DTour,has360,topPlus,suggestedTexts_subtitle,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107353302,720000.0,17,1.0,112.0,1,2,2,0,1,1,6429.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107408433,230000.0,18,1.0,35.0,0,2,1,0,1,0,6571.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105130984,676000.0,12,0.5,149.0,0,3,1,0,0,1,4537.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
103860352,960000.0,13,1.0,72.0,1,2,2,0,1,1,13333.0,1,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
105692115,285000.0,6,4.0,39.0,0,1,1,1,1,1,7308.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
103860500,1110000.0,14,1.0,84.0,1,2,2,0,1,1,13214.0,1,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107348531,276000.0,22,0.0,41.0,0,1,1,0,1,1,6732.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106937652,689000.0,28,1.0,110.0,1,3,2,1,1,1,6264.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
105408727,295000.0,13,4.0,38.0,0,1,1,1,1,1,7763.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107310761,170000.0,30,4.0,29.0,1,0,1,0,1,0,5862.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,1,0,0
105561735,295000.0,23,-1.0,70.0,1,2,1,1,1,0,4214.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107471044,180000.0,5,5.0,38.0,1,1,1,0,0,1,4737.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
106584029,919000.0,12,3.0,112.0,0,3,3,1,1,1,8205.0,1,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106822371,2490000.0,1,4.0,250.0,1,3,4,0,1,1,9960.0,1,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
106640888,299000.0,15,2.0,142.0,1,5,1,1,1,0,2106.0,1,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107075564,300000.0,32,-0.5,68.0,0,2,1,1,1,0,4412.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106773048,320000.0,16,3.0,35.0,0,2,1,0,1,0,9143.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106969099,800000.0,26,1.0,109.0,1,2,2,0,1,0,7339.0,1,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
107502604,2000000.0,20,3.0,180.0,1,3,3,0,1,1,11111.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105408539,295000.0,11,3.0,38.0,0,1,1,0,1,1,7763.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
103237345,795000.0,47,3.0,144.0,1,2,2,0,1,0,5521.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
106193535,298000.0,9,5.0,40.0,0,1,1,1,1,1,7450.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106345405,1039000.0,10,3.0,103.0,1,3,3,0,1,1,10087.0,1,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
105725654,1360000.0,9,2.0,90.0,1,3,1,0,0,1,15111.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
107508585,2100000.0,4,1.0,124.0,1,3,2,0,1,1,16935.0,1,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107148240,425000.0,26,4.0,63.0,1,3,1,0,0,1,6746.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107135402,360000.0,27,3.0,38.0,0,2,1,0,1,0,9474.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
102877597,1150000.0,15,5.0,110.0,1,2,2,1,1,1,10455.0,1,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,0,0,1,0
102277593,1025000.0,13,5.0,110.0,1,2,2,1,1,1,9318.0,1,0,0,0,"Sol, Madrid",0,0,0,0,0,1,0,0,1,0
106517806,205000.0,15,1.0,33.0,0,1,1,0,1,0,6212.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107311094,389000.0,26,0.0,84.0,1,3,2,0,1,0,4631.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
106989577,2180000.0,19,1.0,260.0,1,3,3,0,1,1,8385.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107352803,470000.0,10,1.0,70.0,1,2,1,0,1,0,6714.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107140455,1380000.0,6,3.0,132.0,1,2,3,0,0,1,10455.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
105465449,2400000.0,38,4.0,190.0,1,4,2,1,1,0,12632.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107386434,989000.0,13,2.0,112.0,1,3,2,0,1,1,8830.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
105939495,1400000.0,6,3.0,135.0,1,1,2,0,1,1,10370.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
103981271,340000.0,24,5.0,62.0,0,1,1,0,1,0,5484.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
105447907,959000.0,12,1.0,112.0,1,2,2,0,1,0,8563.0,1,0,1,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107192661,4890000.0,8,2.0,300.0,1,3,2,0,1,1,16300.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
107203602,1500000.0,30,4.0,133.0,1,3,2,1,1,1,11278.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
106483512,246000.0,15,0.0,36.0,0,1,1,0,1,0,6833.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
100018746,198500.0,18,4.0,35.0,1,1,1,1,1,1,5671.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,0,1,0
104199841,989000.0,12,2.0,112.0,1,3,3,0,1,0,8830.0,1,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106626033,498000.0,14,1.0,155.0,0,2,2,0,1,1,3213.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107074975,790000.0,8,5.0,98.0,1,2,2,0,1,1,8061.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
105695940,619900.0,19,1.0,89.0,1,2,1,0,1,1,6965.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107400791,1250000.0,12,1.0,143.0,1,3,3,0,1,1,8741.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
104400185,859000.0,16,1.0,108.0,1,3,3,0,1,0,7954.0,1,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107190815,370000.0,20,1.0,47.0,1,1,1,1,1,1,7872.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
106093440,1079000.0,12,2.0,128.0,1,3,3,0,1,1,8430.0,1,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
106228891,970000.0,21,0.5,149.0,1,3,2,1,1,1,6510.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106823892,250000.0,25,0.0,34.0,1,0,1,0,1,0,7353.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,1,0,0
106511284,243000.0,4,3.0,46.0,1,1,1,0,1,0,5283.0,1,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107406031,225000.0,22,0.0,42.0,0,2,1,0,1,0,5357.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
104450806,176000.0,37,0.0,29.0,0,1,1,1,1,0,6069.0,1,0,1,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
107459190,295000.0,13,3.0,39.0,0,1,1,1,1,1,7564.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
104396410,919000.0,15,1.0,112.0,1,3,3,0,1,1,8205.0,1,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,1,0,0,0
107229515,440000.0,29,2.0,97.0,1,1,1,1,0,1,4536.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
103878128,2600000.0,6,2.0,245.0,1,2,3,0,1,1,10612.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
103989451,650000.0,26,5.0,105.0,0,3,2,0,0,1,6190.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
106323970,1300000.0,37,4.0,150.0,0,3,2,0,1,1,8667.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,0,0,0,1
106252730,1150000.0,23,5.0,99.0,1,2,2,0,1,1,11616.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
106252674,1025000.0,24,5.0,110.0,1,2,2,0,1,1,9318.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,1,0,0,0
107329400,333717.0,7,3.0,49.0,0,1,1,1,1,1,6811.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106091769,459000.0,22,4.0,83.0,1,1,1,0,1,1,5530.0,0,0,0,0,"Sol, Madrid",0,0,0,0,0,1,0,0,1,0
106652134,495000.0,25,4.0,64.0,0,3,2,0,1,1,7734.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,0,1,0
107010927,145000.0,7,1.0,23.0,0,0,1,0,1,0,6304.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,1,0,0
105340189,425000.0,17,3.0,62.0,1,1,1,0,1,1,6855.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106477096,1700000.0,48,4.0,150.0,1,3,4,0,1,1,11333.0,0,0,0,0,"Chueca-Justicia, Madrid",1,0,0,0,0,0,1,0,0,0
106630770,180000.0,19,6.0,29.0,1,0,1,0,1,1,6207.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,0,1,0,0
106863586,1500000.0,65,4.0,238.0,1,4,3,0,1,1,6303.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106712941,450000.0,18,4.0,87.0,1,2,1,0,1,1,5172.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
106000900,497500.0,30,1.0,75.0,1,0,1,0,1,1,6633.0,0,0,0,0,"Malasaña-Universidad, Madrid",0,0,0,1,0,0,0,1,0,0
98887276,565000.0,100,6.0,62.0,1,1,1,1,1,1,9113.0,0,0,1,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
103846533,975000.0,3,4.0,175.0,1,4,2,0,0,1,5571.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
107239168,199500.0,20,0.0,27.0,0,1,1,0,1,0,7389.0,0,0,0,0,"Lavapiés-Embajadores, Madrid",0,0,1,0,0,0,1,0,0,0
104486130,1290000.0,3,1.0,201.0,1,4,3,0,1,1,6418.0,0,0,0,0,"Palacio, Madrid",0,0,0,0,1,0,1,0,0,0
107386368,490000.0,21,5.0,73.0,1,2,1,0,1,1,6712.0,0,0,0,0,"Huertas-Cortes, Madrid",0,1,0,0,0,0,1,0,0,0
