ID,price,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex
107555680,1215000.0,0,1,5.0,150.0,1,4,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35611636,490000.0,0,30,3.0,76.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107306230,720000.0,0,14,3.0,126.0,1,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106685793,255000.0,0,13,3.0,29.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106452820,1250000.0,0,13,2.0,195.0,1,3,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107521537,210000.0,0,31,1.0,35.0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
93273613,400000.0,0,47,0.0,30.0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
106376787,199500.0,0,21,0.0,32.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
105135973,3100000.0,1,31,9.0,137.0,1,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
105383945,707000.0,0,19,2.0,73.0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
107381861,1650000.0,1,55,1.0,250.0,1,5,3,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
107375212,1290000.0,0,24,3.0,163.0,1,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
106454290,700000.0,1,55,6.0,150.0,1,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107162207,167000.0,0,25,0.0,38.0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
105971690,850000.0,0,25,4.0,121.0,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
107123764,950000.0,1,13,1.0,85.0,1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
106894932,420000.0,0,11,1.0,43.0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
107160108,380000.0,0,29,5.0,61.0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
106892859,1550000.0,0,16,2.0,167.0,1,4,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107209256,290000.0,0,24,3.0,47.0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107310585,1490000.0,1,4,4.0,173.0,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107458403,630000.0,0,5,0.0,85.0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
103178029,550000.0,0,16,0.0,84.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107355812,450000.0,0,18,3.0,50.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
105957438,280000.0,0,1,1.0,40.0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106302464,210000.0,0,21,5.0,40.0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106786216,1610000.0,1,52,5.0,229.0,1,3,3,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
107312135,2575000.0,0,3,1.0,215.0,1,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
107032469,1300000.0,1,27,1.0,210.0,1,4,3,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
106994301,440000.0,0,51,1.0,95.0,0,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106054285,670000.0,0,9,0.0,68.0,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107523392,1550000.0,0,37,2.0,167.0,1,4,3,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
106905498,870000.0,1,28,2.0,103.0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
