ID,terraza,numPhotos,floor,size,exterior,rooms,bathrooms,hasVideo,status,hasLift,hasPlan,has3DTour,has360,topPlus,barrio_Chueca-Justicia,barrio_Huertas-Cortes,barrio_Lavapiés-Embajadores,barrio_Malasaña-Universidad,barrio_Palacio,barrio_Sol,tipo_flat,tipo_studio,tipo_penthouse,tipo_duplex,priceLog
104361806,0,0.14955506186451523,0.0,0.4576366467237406,0,0.5,0.3962406251802891,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.517959406678772
99299268,1,0.8307168793445957,2.0,0.46852600915350295,1,0.3962406251802891,0.3962406251802891,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,13.071070083016778
94852564,1,0.5173755097413612,1.0,0.5772714037783816,0,0.5,0.25,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13.017002861746503
107519411,0,0.7959212854693812,3.0,0.5110535514488869,1,0.3962406251802891,0.3962406251802891,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13.102160670086809
105567259,0,0.7189642627730068,4.0,0.4219250379250362,1,0.25,0.3962406251802891,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12.959844447906553
106151385,0,0.7409251356888623,5.0,0.7512261327699367,1,0.3962406251802891,0.5,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,14.214286677921642
103160710,0,0.6352990620690318,2.0,0.6162683919464492,1,0.5,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,13.891545244240271
107460480,0,0.29911012372903045,1.0,0.5772714037783816,1,0.7499999999999999,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.9190224533863
106463569,0,0.5173755097413612,2.0,0.593140470559047,1,0.5,0.5,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13.697852514496041
107478162,0,0.711117494544868,0.0,0.32508162422777587,0,0.25,0.25,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,12.542187675503545
106054285,0,0.4968111617403508,0.0,0.4539028884157875,1,0.3962406251802891,0.3962406251802891,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13.415032991367148
